Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
CARRIERE DE TEJRA,STE CARRIERE DE TEJRA,Majida Karoui,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de carrière.,RTE DE GABES KM 7 - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine nord,(216) - 75 601 023 / 98 344 415,(216) - 75 601 023,carrieretejra@hotmail.com,,Non totalement exportatrice,,30/01/2009,2 250 000,44.0,Attijari Bank
CARRIERE ROMDHANI,ROMDHANI YOUSSEF,Youssef Romdhani,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers.,ZAGA - 9010 - NEFZA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Nefza,(216) - 78 470 387,(216) - 78 470 387,,,Non totalement exportatrice,,01/07/1999,-,13.0,Société tunisienne de banque
CARRIERES DE KOUTINE,STE CARRIERES DE KOUTINE,Omar Lachiheb,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Sables de carrière - Graviers.,KOUTINE N°2 - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine nord,(216) - 98 318 742,(216) - 75 624 655,lachihebubs@yahoo.fr,,Non totalement exportatrice,,01/09/2014,2 000,30.0,Banque de Tunisie
CARRIERES DE QUALITE ET DE L'EXCELLENCE,STE DES CARRIERES DE QUALITE ET DE L'EXCELLENCE,Nabil Khadhraoui,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,AIN EL HMADNA - 1280 - JEDLIANE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Jedliane,(216) - 29 791 329,(216) - 70 563 186,sondesfathali@yahoo.fr,,Non totalement exportatrice,,31/01/2020,500 000,19.0,Union internationale de banques
CARTHAGE CEMENT,CARTHAGE CEMENT,Brahim Sanaa,Industries des matériaux de construction céramique et verre,Ciment.,Ciment gris ou ordinaire.,2064 - LAVERIE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Mornag,(216) - 71 190 301,(216) - 71 190 289,,,Non totalement exportatrice,Emirats A.U,22/10/2008,343 624 900,743.0,Banque nationale agricole
CARTHAGO SA,CARTHAGO SA,Taieb Ktari,Industries des matériaux de construction céramique et verre,Carreaux en céramique.,Carreaux de revêtement en céramique - Dalles et carreaux de pavement en céramique non réfractaire - Carreaux de revêtement en terre cuite.,Z.I. BP 34 - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 271 291 / 74 271 292,(216) - 74 271 031,carthago@carthagoceramic.com.tn,http://www.carthagoceramic.com,Non totalement exportatrice,,01/12/1990,127 400 000,863.0,Banque de Tunisie
CAT (JEBEL JELOUD),LES CIMENTS ARTIFICIELS TUNISIENS-COLACEM,Giuseppe Colaicovo,Industries des matériaux de construction céramique et verre,Ciment - Chaux.,Ciment gris ou ordinaire - Chaux hydraulique artificielle.,"RTE Z4, KM 2 - 1009 - EL OUARDIA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Jbel jeloud,(216) - 71 135 358 / 71 135 364,(216) - 71 393 642,a.salinelli@financo.it,http://www.colacem.it,Non totalement exportatrice,Italie,04/01/1932,54 153 450,184.0,Union internationale de banques
CBM (TEBOURSOUK),STE DES CARRIERES DES BONS MATERIAUX,Kacem Gaaliche,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers.,JEBEL CHAARAIA - 9040 - TEBOURSOUK,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Teboursouk,(216) - 73 227 113 / 98 723 326,(216) - 78 465 454,,,Non totalement exportatrice,,26/09/1996,500 000,16.0,Société tunisienne de banque
CCB,STE LES CARRELAGES DU CAP BON,Najoua Attia Nee Rekik,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés - Autres carreaux.,Z.I. - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 72 224 085 / 72 285 187,(216) - 72 223 267,carrelage.cb@hexabyte.tn,,Non totalement exportatrice,,01/07/1974,3 195 000,23.0,Société tunisienne de banque
CCG,LES CARRELAGES CHOISIS DE GABES,Moemen Ben Ameur,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés - Autres carreaux.,Z.I. BP N°67 - 6000 - GABES,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 75 271 372 / 29 711 830,(216) - 75 271 372,financier@carrelageschoisis.com,http://www.carrelageschoisis.com,Non totalement exportatrice,USA,03/11/1977,3 690 000,75.0,Banque nationale agricole
CERAC,CERAMIQUE DU CENTRE,Sina Lejmi,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Hourdis - Briques creuses ou perforées.,RTE DE ZERAMDINE KM 2 - 5020 - JEMMEL,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Jammel,(216) - 73 225 318 / 73 591 084,(216) - 73 225 459 / 73 590 741,cerac@cerac.com.tn,http://www.cerac.com.tn,Non totalement exportatrice,,31/01/1985,2 100 000,120.0,Attijari Bank
CERAMIC CERES,STE CERAMIC CERES,Mohamed Taher Ben Ayed,Industries des matériaux de construction céramique et verre,Carreaux en céramique.,Carreaux de revêtement en céramique.,Z.I. CHBEDDA - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 79 307 333 / 29 945 282,(216) - 71 398 072,taherbenayed@hotmail.fr,,Non totalement exportatrice,,28/10/2021,5 200 000,76.0,Banque Zitouna
CERAT,CERAMIQUE ARTISTIQUE DE TUNISIE,Mohamed Fares Ben Ayed,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès.",Autres articles céramiques.,CHEBEDDA - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 398 128 / 71 398 068,(216) - 71 398 072,benayed.fares@gnet.tn,,Non totalement exportatrice,,01/01/1982,3 180 000,75.0,Union internationale de banques
CHIKY ET CIES,STE CHIKY ET CIES,Ezzeddine Chiky,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de concassage.,ROUISSAT - 3121 - CHEBIKA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Echbika,(216) - 98 722 567 / 77 300 303,(216) - 77 300 339,stechiky@topnet.tn,,Non totalement exportatrice,,01/04/1991,460 000,43.0,Union internationale de banques
CIOK,LES CIMENTS D'OUM EL KHELIL,Rchid El Arbi,Industries des matériaux de construction céramique et verre,Ciment.,Ciment gris ou ordinaire.,7150 - TEJEROUINE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Tajerouine,(216) - 78 223 388 / 78 253 612,(216) - 78 253 804,dg@ciok.com.tn,http://www.ciok.com.tn,Non totalement exportatrice,,01/02/1980,34 000 000,356.0,Banque de l'habitat
CIRTA MARBRE ROYAL,CIRTA MARBRE ROYAL,Farhat Touati,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. AFI - 7100 - LE KEF,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef est,(216) - 25 062 193,,,,Non totalement exportatrice,Algerie,22/06/2009,276 000,10.0,Société tunisienne de banque
CJO,STE LES CIMENTS DE JEBEL OUST,Abdelkader N Ciri,Industries des matériaux de construction céramique et verre,Ciment - Chaux.,Ciment gris ou ordinaire - Chaux hydraulique artificielle.,Z.I. - 1141 - BIR M'CHERGA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 36 408 734 / 36 408 700,(216) - 76 408 716,,,Non totalement exportatrice,Portugal,31/01/1986,49 355 100,155.0,Société tunisienne de banque
CM (FONDOUK JEDID),STE DES CARRIERES BEN M'BAREK ET CIE,Yosri M'barek,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Pierres de construction - Autres pierres et marbre.,GP1 KM 28 - 8012 - FONDOUK JEDID,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Grombalia,(216) - 72 250 021 / 97 325 026,(216) - 72 250 250,carriere.benmbarek@gmail.com,http://www.marbre-gattouna.com,Non totalement exportatrice,,05/02/1971,692 000,42.0,Attijari Bank
CMA (JEBEL JELOUD),STE DES CARRELAGES ET MARBRERIE EL AFRAN,Taoufik Ben Saad,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DE SOUSSE KM 3 - 2023 - SIDI FATHALLAH,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Jbel jeloud,(216) - 71 494 358 / 71 490 887,(216) - 71 391 763,cma.elafrane@planet.tn,,Non totalement exportatrice,Arabie Seoudite,01/07/1927,2 250 000,27.0,Banque de Tunisie
CMGM,CIE MEDITERRANEENNE DE GRANITE ET DE MARBRE,Ameni Besbes,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE SALTANIA KM 13 - 3081 - SALTANIA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet eddaier,(216) - 28 772 782 / 50 554 413,(216) - 74 886 984,amaraamani85@gmail.com,,Non totalement exportatrice,,01/01/2012,4 660 000,30.0,Société tunisienne de banque
COGEMAC,CIE GLE DE FABRICATION ET DE VENTE DE MATERIAUX DE CONSTRUCTION,Azaiez Kossentini,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre - Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés - Marbre - Pierres de construction - Graviers - Sables de carrière.,RTE DE FOUCHANA KM 9 - 2030 - SEJOUMI,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Sidi hassine,(216) - 55 305 787,,cogemac.az@planet.tn,,Non totalement exportatrice,,02/02/1994,150 000,50.0,Attijari Bank
COTUVEM,COMPTOIR TUNISIEN DE VERRERIE ET DE MIROITERIE,Wissem Khemakhem,Industries des matériaux de construction céramique et verre,Verre plat - Façonnage et transformation du verre plat.,"Vitrage isolant - Miroirs en verre - Autres verres plats façonnés - Verres armés, verres imprimés, verres teintés, etc..","68, RUE DE L'ENERGIE, Z.I. LA CHARGUIA - 2035 - TUNIS CARTHAGE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Cite el khadra,(216) - 71 787 680,(216) - 71 786 484,cotuvem@yahoo.fr,,Non totalement exportatrice,,01/05/1972,630 000,20.0,Arab Tunisian Bank
COULEURS NABEUL,STE COULEURS NABEUL,Mohamed Bahroun,Industries des matériaux de construction céramique et verre,Extraction et transformation d'argile et kaolin.,Argiles.,"RUE OKBA IBNOU NAFAA, Z.I. N°1 - 8000 - NABEUL","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 58 556 653 / 72 272 442,,ste.bahroun@planet.tn,,Non totalement exportatrice,,10/04/2006,609 000,12.0,Banque Zitouna
CPS,CARRELAGES ET PREFABRICATION DU SUD,Mohamed Salah Sanakli,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés - Autres carreaux.,Z.I. - 6071 - GABES PORT,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 36 149 968,,stecpsnehla@gmail.com,,Non totalement exportatrice,,02/07/1969,1 988 000,41.0,Banque nationale agricole
CST,STE LES CARRIERES DU SUD TUNISIEN,Mohamed Nabil Ouffini,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de carrière.,TEJRA - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine nord,(216) - 98 778 850 / 75 690 157,(216) - 75 690 158 / 75 606 166,cstgranulat@yahoo.fr,,Non totalement exportatrice,,01/01/1995,1 800 000,29.0,Union internationale de banques
CSVM,COMPTOIR SFAXIEN DE VERRERIE ET MIROITERIE,Khaled Hadriche,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Vitrage isolant - Miroirs en verre.,RUE JAMELEDDINE EL AFGHANI LA POUDRIERE I - 3002 - EL BOUSTENE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 74 286 287 / 74 225 504,,csvm@csvm.com.tn,http://www.csvm.com.tn,Non totalement exportatrice,,16/01/2004,1 453 660,28.0,Banque nationale agricole
DAOUD BETON,STE DAOUD BETON,Wadii Daoud,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,RUE DE L'INDUSTRIE Z. I BIR EL KASSAA III - 2059 - BIR EL KASSAA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,El mourouj,(216) - 71 388 208 / 71 388 191,(216) - 71 384 381,grp.daoud@gmail.com,,Non totalement exportatrice,,02/02/2002,800 200,90.0,Amen Bank
DBS,DERBIGUM BUILDING SOLUTIONS,Tarek Cherif,Industries des matériaux de construction céramique et verre,Produits minéraux non métalliques N.C.A..,Vernis - Siccatifs et enduits - Colle-uree-formol - Produits asphaltés et bitumineux.,Z.I. CHEBEDDA - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 79 101 100 / 36 032 222,(216) - 71 380 006 / 79 307 777,commercial@etancheite.com.tn,http://www.etancheite.com.tn,Non totalement exportatrice,,01/07/1977,9 469 336,175.0,Société tunisienne de banque
DC INDUSTRIE,DC INDUSTRIE,Muca Luna,Industries des matériaux de construction céramique et verre,Ciment.,Autres ciments.,"Z.I  LOT SIDCO N°52, RTE DE TUNIS - 3100 - KAIROUAN","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,(216) - 26 013 105 / 26 013 126,,financedeutschcolor.tn@gmail.com,,Non totalement exportatrice,Albanie,29/06/2019,3 000 000,150.0,Arab Tunisian Bank
DISHES & DECO,STE DISHES & DECO,Angelique Johanna Helene Maria,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès.",Autres articles céramiques.,Z.I. - 8060 - BENI KHIAR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Beni khiar,(216) - 28 815 433,,,,Totalement exportatrice,Hollande,08/05/2015,15 000,14.0,Banque de Tunisie
DOREMAIL,DOREMAIL,Houssem Lengliz,Industries des matériaux de construction céramique et verre,Carreaux en céramique.,Carreaux de revêtement en céramique.,Z.I. - 8040 - BOUARGOUB,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Bou argoub,(216) - 71 905 955 / 31 368 383,(216) - 71 905 888 / 72 259 696,contact@doremail.com,http://www.doremail.com,Non totalement exportatrice,,25/06/1985,1 500 000,60.0,Banque Zitouna
DURAVIT TUNISIA,DURAVIT TUNISIA,Fella Said,Industries des matériaux de construction céramique et verre,Articles sanitaires en céramique.,Ensembles sanitaires - Eviers - Receveurs de douches.,BLD DE L ENVIRONNEMENT - 7021 - ZARZOUNA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Zarzouna,(216) - 70 029 240,(216) - 71 781 767 / 72 590 294,info@tn.duravit.com,http://www.artica.com.tn,Non totalement exportatrice,Allemagne,15/10/1967,11 484 700,240.0,Attijari Bank
EBC,ENT BECHIR CHENNOUF ET FILS,Jalel Chennouf,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Pierres de construction.,MAYANA - 1130 - TEBOURBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Tebourba,(216) - 98 342 285 / 98 423 905,(216) - 71 530 454,,,Non totalement exportatrice,,01/01/2001,1 300 000,24.0,Banque de l'habitat
EBCE,ENTREPRISE DE BATIMENT DU CENTRE EL TAIEF,Raouf El Taief,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,"ZONE EL BHAIER, RTE TOURISTIQUE - 4011 - HAMMAM SOUSSE","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Hammam sousse,(216) - 73 228 135 / 27 389 938,(216) - 73 226 755,contact@somaco.com.tn,http://www.somaco.com.tn,Non totalement exportatrice,,25/03/2008,1 000 000,35.0,Amen Bank
ECOMAT,STE ECOMAT,Nour Sanhaji,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Plaques, panneaux en béton - Autres articles en béton.",Z.I. SIDI FRADJ - 1145 - MOUHAMADIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Mohamedia,(216) - 29 807 785 / 29 572 474,,nour.sanhaji@ecomat.com,,Totalement exportatrice,Italie - France,04/09/2017,19 882 500,80.0,Banque Zitouna
EL EHSAN EVG-3D,EL EHSAN EVG-3D,Bechir Adouni,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Plaques, panneaux en béton.",Z.I. - 6020 - EL HAMMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,El hamma,(216) - 98 178 207 / 75 337 000,(216) - 75 337 000,bashir.a201@gmail.com,,Non totalement exportatrice,,12/09/2019,-,20.0,Banque nationale agricole
EL KANAOUET,STE EL KANAOUET,Hamed Ben Rabeh,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Tuyaux et conduits en béton - Autres articles en béton.,Z.I. - 4030 - ENFIDHA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Enfidha,(216) - 73 250 077,(216) - 71 848 703 / 73 250 428,elkanaouet-siege@gnet.tn,,Non totalement exportatrice,Arabie Seoudite,01/03/1985,5 750 000,287.0,Arab Tunisian Bank
EL MAWASSIR,EL MAWASSIR,Omar Chakchak,Industries des matériaux de construction céramique et verre,Tuyaux et plaques en amiante-ciment.,Plaques planes ou ondulées en amiante-ciment.,Z.I. - 1193 - BIR M'CHERGA GARE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 71 434 456 / 72 679 531,(216) - 71 432 519 / 72 679 518,elmawassir.usine@planet.tn,http://www.elmawassir.com.tn,Non totalement exportatrice,Maroc,19/01/1985,6 600 000,156.0,Banque Zitouna
EMA (LA SOUKRA),ETS M'HIRSI DES ABRASIFS,Taoufik M'hirsi,Industries des matériaux de construction céramique et verre,Produits abrasifs.,Meules - Autres produits abrasifs.,IMP DES ENTREPRENEURS Z.I. LA CHARGUIA II - 2036 - LA SOUKRA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,La Soukra,(216) - 98 170 006 / 71 941 102,(216) - 71 940 388,daf@ema.com.tn,http://www.ema.com.tn,Non totalement exportatrice,,09/10/1984,5 798 760,110.0,Attijari Bank
ENNAIM,STE ENNAIM,Mohamed Samir Alaya,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès.","Objets d'ornementation en porcelaine, faïence , grès ou terre commune - Vaisselle de ménage en porcelaine.",ZONE INDUSTRIELLE - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 99 331 433 / 72 221 021,(216) - 72 272 600,ennaim09@yahoo.fr,,Non totalement exportatrice,,28/09/1998,170 000,65.0,Banque nationale agricole
ERB,ENTREPRISE RATEL BETON,Abdelhamid Ratel,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Tuyaux et conduits en béton - Eléments de voirie ou d'assainissement en béton - Eléments de structure en béton pour le bâtiment et le génie civil.,RTE DE MEDENINE KM 12 - 6011 - GABES MANARA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Mareth,(216) - 75 290 366 / 75 290 766,(216) - 75 293 545,ratel.beton@topnet.tn,,Non totalement exportatrice,,05/01/2005,225 000,14.0,Société tunisienne de banque
ETS ERNEZ HECHEMI BEN ABDELMAJID,ETS ERNEZ HECHEMI BEN ABDELMAJID,Ernez Hechemi,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Autres verres plats façonnés.,RTE DE M'SAKEN - 4000 - SOUSSE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sousse jawhara,(216) - 73 230 201,,ets.hechmiernez@topnet.tn,,Non totalement exportatrice,,06/02/2001,280 000,52.0,Banque de Tunisie
